rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_group,lda_cluster_as_group,embed_pred_as_group,text
15,1007,9,edu com mail information send list,0.818,0.266,11,image software available ftp files graphics,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.graphics,attention voters problem mailbox day voting check vote ack end address send vote actually check voted day introduction final votes creation newsgroups create comp programmer comp programmer comp programmer misc comp setup comp multimedia comp bugs second attempt creating comp programmer comp setup c
16,3523,0,israel turkish armenian jews war israeli,0.811,0.200,13,team game year games play season,rec.sport.hockey,talk.politics.mideast,rec.sport.hockey,world championships germany group standings munich group standings dortmund canada czech republic russia finland italy germany sweden usa austria france switzerland norway april italy russia norway germany sweden austria usa czech republic april canada switzerland russia austria finland france april
17,4360,9,edu com mail information send list,0.806,0.248,15,don just like know think good,misc.forsale,comp.sys.mac.hardware,rec.motorcycles,following magazines best offer received shipping included pretty heavy course local mass usa come person great condition lot break sep feb june nov dec june nov jan newspaper sized jan feb dec mar apr jul sep dec dec aug oct oct dec dec jan apr jul sep dec feb feb nov apr aug sep oct oct feb mar jul
18,6476,10,said people went didn came told,0.802,0.192,0,israel turkish armenian jews war israeli,talk.politics.mideast,talk.religion.misc,talk.politics.mideast,accounts anti armenian human right violations azerbaijan prelude current events nagorno karabakh yes just remembered repeated quite frequently let armenian women babies muslim babies let bear azerbaijanis struggle armenians said muslims carry holy cause heroes repeated born teacher sumgait secondary
19,9394,15,don just like know think good,0.787,0.339,13,team game year games play season,sci.space,rec.motorcycles,rec.sport.hockey,thought ross consideration think likely try win come try gates try sam kids matt
20,7878,0,israel turkish armenian jews war israeli,0.786,0.227,13,team game year games play season,rec.sport.hockey,talk.politics.mideast,rec.sport.hockey,world championships germany group standings munich group standings dortmund sweden germany italy czech republic russia usa canada finland switzerland france austria norway april italy russia norway germany sweden austria usa czech republic april canada switzerland russia austria finland france april
21,3064,9,edu com mail information send list,0.754,0.243,2,car new bike price sale cars,rec.autos,comp.sys.mac.hardware,misc.forsale,archive rec autos automotive mailing lists electronic mail updated new lotus exotic cars list subscription info added portland list list triumph list number electronic mailing lists network devoted various special automotive topics best knowledge lists appearing open membership policies policy list 
22,376,5,drive card scsi disk dos windows,0.750,0.358,15,don just like know think good,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,rec.motorcycles,experts need answer quick machine floppy unable write disk machine claims disk write protected note read problem
23,9751,17,power use water ground wire used,0.747,0.378,4,health medical disease use patients food,sci.electronics,sci.electronics,sci.med,lemon stick copper strip lemon stick nail inches copper strip volt light led slmr support medical die
24,3419,11,image software available ftp files graphics,0.745,0.322,5,drive card scsi disk dos windows,comp.windows.x,comp.graphics,comp.sys.ibm.pc.hardware,briefly communications server packages micro lite includes integrated tcp runs micro includes integrated tcp runs dos shape extension interface novell tcp micro dos pack includes integrated tcp runs dos shape extension interface novell tcp ftp tcp micro win pack includes tcp stack utilities interfac
25,3052,9,edu com mail information send list,0.741,0.307,16,people god does believe evidence say,alt.atheism,comp.sys.mac.hardware,alt.atheism,archive atheism overview alt atheism archive overview modified april version overview welcome alt atheism alt atheism moderated series regular postings aimed new readers newsgroups groups controversial nature noticed new readers come questions mis statements post net addition people request informat
26,2532,6,window server motif widget use application,0.740,0.368,15,don just like know think good,comp.windows.x,comp.windows.x,rec.motorcycles,piece code fine gives undefined errors following libraries linked makefile generated imake pointers missing compile
27,5170,4,health medical disease use patients food,0.732,0.301,15,don just like know think good,sci.med,sci.med,rec.motorcycles,shouldn need shrink wanted kill depressed people treated usually gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
28,828,10,said people went didn came told,0.731,0.264,15,don just like know think good,sci.med,talk.religion.misc,rec.motorcycles,justified pissed doctor saturday evening year old son cut finger badly knife took local general care clinic clinic open till went told doctor came told doctor someplace did want delayed minutes response questions trips room told doctor doing paperwork doctor look finger advise going emergency room d
29,2529,19,file entry output program section char,0.731,0.354,5,drive card scsi disk dos windows,comp.graphics,rec.sport.baseball,comp.sys.ibm.pc.hardware,beg differ point batch file use launch cview dir cview resides time crash cview byte temp file root dir drive cview just
30,3086,17,power use water ground wire used,0.730,0.389,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,joystick button axis ground ground axis button joystick button axis ground axis button slmr soft judges make criminals
31,8631,2,car new bike price sale cars,0.729,0.358,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,hewlett packard laserjet series paper tray sale letter size brand new box used asking bought new computer
32,687,2,car new bike price sale cars,0.722,0.400,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,final public update dragon magazine new current stand like gonna happen updates mail entire end soon stop coming want sure bid cent buyer pay shipping unless particular fancy mail class special lots condition vary quite bit come condition missing items like questions feel free ask condition ratings 
33,6250,5,drive card scsi disk dos windows,0.720,0.381,2,car new bike price sale cars,comp.sys.ibm.pc.hardware,comp.sys.ibm.pc.hardware,misc.forsale,possible sound machine equivalent pro stereo digitized sound way creative labs price pro price equal
34,3023,15,don just like know think good,0.716,0.385,5,drive card scsi disk dos windows,comp.os.ms-windows.misc,rec.motorcycles,comp.sys.ibm.pc.hardware,problem suggested bios bug gonna check supplier tomorrow tell helps
35,4175,6,window server motif widget use application,0.713,0.371,11,image software available ftp files graphics,comp.graphics,comp.windows.x,comp.graphics,looking program capable displaying graph links possibility edit graph add change link actually program need boxes able manipulate mouse add delete boxes does know program available thanks help
36,8647,9,edu com mail information send list,0.712,0.425,2,car new bike price sale cars,sci.electronics,comp.sys.mac.hardware,misc.forsale,try parts express dayton ohio complete line professional arcade buttons number ask number express dayton ohio love free directory assistance dan daniel joseph cis ohio state edu
37,1961,4,health medical disease use patients food,0.711,0.283,7,time use used number point different,sci.med,sci.med,rec.autos,levels blood able bypass blood brain barrier particular areas median regions particularly areas subject blood brain barrier areas control release controls release governing development especially sexual development changes adult rats sensitive humans observed chronic basis cycles blood levels signif
38,3942,17,power use water ground wire used,0.710,0.418,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,case switch control turn switch turn switch
39,2018,2,car new bike price sale cars,0.709,0.392,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,pocket sized red eye reduction timer fully automatic time date stamp carrying case smallest camera class rated consumer reports excellent condition months old worth purchased selling
40,5031,15,don just like know think good,0.707,0.366,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,disagree common years watching hockey seen happen sure league watching agree
41,6917,16,people god does believe evidence say,0.707,0.377,18,god jesus church bible christ christian,alt.atheism,alt.atheism,soc.religion.christian,contains word ergo word god agree words god thing relates navy men say mom love mom makes men bobby mozumder isc edu april
42,10014,9,edu com mail information send list,0.700,0.346,2,car new bike price sale cars,rec.motorcycles,comp.sys.mac.hardware,misc.forsale,greetings fellow motorcycle background racing sun com contains discussions devoted racing racing related topics pretty broad group individuals variety backgrounds perspective pit crew engineering size list grows weekly currently little members contributors new zealand australia germany france englan
43,3731,10,said people went didn came told,0.692,0.329,15,don just like know think good,rec.autos,talk.religion.misc,rec.motorcycles,place single men wallet pocket pocket keys pocket pocket pen shirt pocket pants pocket married men start carrying bunch stuff women happy
44,1709,5,drive card scsi disk dos windows,0.690,0.378,11,image software available ftp files graphics,comp.windows.x,comp.sys.ibm.pc.hardware,comp.graphics,recommend inexpensive monochrome station software emulation based tell manufacturer model price significant specs thanks
45,4609,6,window server motif widget use application,0.689,0.352,5,drive card scsi disk dos windows,comp.windows.x,comp.windows.x,comp.sys.ibm.pc.hardware,mit tapes come documentation written keith packard shared memory extension look mit doc extensions mit unfortunately bit work set shared memory segments making ximage extension query determine server supports need test server running host shared memory enabled kernel written layers routines make xvi
46,3126,2,car new bike price sale cars,0.689,0.425,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,calculator card manuals boxes cable months old hardly used make offer mike
47,912,7,time use used number point different,0.689,0.430,15,don just like know think good,rec.sport.baseball,rec.autos,rec.motorcycles,speculation proven produce better lopez speculation does make difference speculation founded good point speculation safer reversed
48,3087,15,don just like know think good,0.689,0.398,5,drive card scsi disk dos windows,comp.windows.x,rec.motorcycles,comp.sys.ibm.pc.hardware,didn operating come usually does far know best contact people bought running linux similar good luck
49,8577,11,image software available ftp files graphics,0.686,0.385,7,time use used number point different,comp.graphics,comp.graphics,rec.autos,looking polygon routine simple sided polygons routine help saving time thanx advance
50,6884,12,key encryption chip clipper keys privacy,0.686,0.340,5,drive card scsi disk dos windows,sci.crypt,sci.crypt,comp.sys.ibm.pc.hardware,pmetzger shearson com perry metzger chip includes following components skipjack encryption algorithm bit family key common chips bit serial number bit secret key messages encrypted chip hmmm thirty bit serial number told unit key derived serial number means billion possible unit keys hell worse thin
51,5069,6,window server motif widget use application,0.685,0.342,11,image software available ftp files graphics,comp.windows.x,comp.windows.x,comp.graphics,trying compile source code mpeg animation viewer windows got code ftp site modified makefile instructed errors happens following message going linked util video gray mono main ordered lib lib undefined referenced symbol file lib lib lib lib lib lib lib lib lib lib lib lib lib lib lib lib lib lib lib
52,7520,10,said people went didn came told,0.685,0.347,15,don just like know think good,talk.politics.mideast,talk.religion.misc,rec.motorcycles,article unm edu unm edu called inhabitants years city called inhabitants called years people alive today born city called people know born city called
53,8598,16,people god does believe evidence say,0.677,0.423,7,time use used number point different,alt.atheism,alt.atheism,rec.autos,correct incorrect application rules language does work mercedes second mercedes case equal person object simply extract word taking context account course case doesn imply case does equal try thing relates navy men say mom love mom makes men bobby mozumder isc edu april
54,7481,15,don just like know think good,0.675,0.348,14,gun law guns government people state,talk.politics.guns,rec.motorcycles,talk.politics.guns,near future federal come arms help dangerous thinking criminal fault amendment dead accept way know ways just kick need things country people need replace guns deadly make like water lighter easier guns really old design long tons motivated design better sure come real nasty stuff tried getting rid 
55,6413,2,car new bike price sale cars,0.672,0.428,15,don just like know think good,rec.motorcycles,misc.forsale,rec.motorcycles,problem rode paris stroke representative size bikes road considered big bike day bigger real rare charlie smith dod
56,4182,17,power use water ground wire used,0.670,0.376,15,don just like know think good,sci.electronics,sci.electronics,rec.motorcycles,board got using lines measures properly power supply problem got input voltage wish lower resistor sensitivity board great holding wire hand touch probe register input voltage resistor voltage problems use lower input voltage btw got grounded correctly inspiration comes seek unknown
57,6420,8,president government people said program money,0.669,0.451,15,don just like know think good,alt.atheism,talk.politics.misc,rec.motorcycles,judging qur headed arguments going wade today hope bob beauchaine bobbe vice ico tek com said queens stay blew bronx away sank manhattan sea
58,9373,4,health medical disease use patients food,0.665,0.442,15,don just like know think good,sci.med,sci.med,rec.motorcycles,cycle free escape atmosphere high velocity won practical recover gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
59,2839,9,edu com mail information send list,0.665,0.302,5,drive card scsi disk dos windows,comp.sys.mac.hardware,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,contacts generic rom drivers optical access international west park suite fax applelink street suite san francisco fax applelink optical media international drive los fax applelink systems intel architecture machines place applelink software verified north suite applelink dev send message applelink 
60,9293,7,time use used number point different,0.663,0.420,15,don just like know think good,talk.politics.mideast,rec.autos,rec.motorcycles,know statistics significance does relatively small population growth rate sampling period small end suggest trend just noise
61,4388,19,file entry output program section char,0.663,0.332,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,rec.sport.baseball,comp.sys.ibm.pc.hardware,read print reason joystick stuff time efficient truth int joystick reading slow read directly hardware port note doing intermittent interrupts want read say twice row lower results don just turn interrupts prove health high speed devices example joy example read joystick port hardware port directly 
62,4392,5,drive card scsi disk dos windows,0.663,0.427,11,image software available ftp files graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.graphics,does know ftp acquire latest video drivers fonts ati svga adapter floppy windows does know ati business thanks
63,6657,16,people god does believe evidence say,0.662,0.421,15,don just like know think good,sci.crypt,alt.atheism,rec.motorcycles,ergo life sufficiently boring need privacy meant personal just logical conclusion statement
64,5708,14,gun law guns government people state,0.662,0.354,8,president government people said program money,talk.politics.guns,talk.politics.guns,talk.politics.misc,interests thought readers newsgroups want fbi director william sessions statement released fbi press office fbi director statement waco national desk contact federal bureau investigation press office washington april following statement fbi director william sessions regarding branch davidian inciden
65,5245,16,people god does believe evidence say,0.660,0.429,15,don just like know think good,alt.atheism,alt.atheism,rec.motorcycles,holding people wrong hold people punish punishment hold punishment isn private person private person apparent reason lead punishment suppose
66,6602,15,don just like know think good,0.660,0.463,0,israel turkish armenian jews war israeli,talk.politics.mideast,rec.motorcycles,talk.politics.mideast,want say agree point hope sides stop civilians
67,8749,9,edu com mail information send list,0.659,0.436,2,car new bike price sale cars,rec.autos,comp.sys.mac.hardware,misc.forsale,monthly posting regarding grand national type mailing list list owners parties interested grand types discussions include technical information parts sources particular emphasis given performance enhancements racing join ask mailing list contact request com
68,9132,9,edu com mail information send list,0.659,0.334,15,don just like know think good,sci.electronics,comp.sys.mac.hardware,rec.motorcycles,plug series scope mainframe going use scope interested let know price probably real cheap notice appeared posted showed local server dave medin phone ssd networking intergraph corp internet dtmedin catbyte ingr com huntsville uucp uunet ingr catbyte dtmedin look office
69,3538,8,president government people said program money,0.657,0.449,15,don just like know think good,alt.atheism,talk.politics.misc,rec.motorcycles,smell sig material bob beauchaine bobbe vice ico tek com said queens stay blew bronx away sank manhattan sea
70,734,5,drive card scsi disk dos windows,0.657,0.450,15,don just like know think good,comp.graphics,comp.sys.ibm.pc.hardware,rec.motorcycles,trying configure use logitech hand scanner acknowledge scanner anybody using scanner help thanks
71,2941,2,car new bike price sale cars,0.655,0.430,15,don just like know think good,misc.forsale,misc.forsale,rec.motorcycles,integrated amplifier looking rid works great integra series problem asking obo interested email address make offer todd
72,4398,4,health medical disease use patients food,0.653,0.370,15,don just like know think good,sci.med,sci.med,rec.motorcycles,extremely rare humans usually involved just mess sort birds vision don gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
73,9839,9,edu com mail information send list,0.652,0.398,15,don just like know think good,rec.autos,comp.sys.mac.hardware,rec.motorcycles,request discussion request discussion creation newsgroup concerning saab cars allow exchange information purchasing maintaining group rec autos saab status rationale people saab cars interested buying saab interested knowing reason justify new newsgroup recent growth net improve time question receiv
74,6307,5,drive card scsi disk dos windows,0.651,0.373,9,edu com mail information send list,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,send follow ups comp sys mac advocacy sorry header does let easily change headers gave year trying sheet available ftp sumex aim stanford edu info mac report mac ibm txt mac ibm info version reason general data sheet information people camps clear accurate saying machines computer technology changin
75,3031,15,don just like know think good,0.650,0.373,2,car new bike price sale cars,rec.autos,rec.motorcycles,misc.forsale,popularity market room station comfortable sedan don carry say wants wagon anymore demand certainly economical build product jason
76,7165,8,president government people said program money,0.650,0.356,15,don just like know think good,talk.politics.misc,talk.politics.misc,rec.motorcycles,yea turned fool voters accepting borrow spend policies years expand economy trillion credit cards big deal deficit spending economy short term long term economy numerous reasons preferred taxpayers trillion instead reagan kept campaign promise balance budget need bush clinton raise taxes reagan bala
77,7803,9,edu com mail information send list,0.649,0.359,8,president government people said program money,alt.atheism,comp.sys.mac.hardware,talk.politics.misc,andrew cmu edu david andrew cmu edu yes mac michael cobb won raise taxes middle university illinois class pay programs champaign urbana clinton debate cobb lis uiuc edu
78,1674,0,israel turkish armenian jews war israeli,0.646,0.289,15,don just like know think good,talk.politics.mideast,talk.politics.mideast,rec.motorcycles,post deleted tell young men attack syrian troops guarantee peace happens lebanese youth unable violence unable realize actions stay south lebanon lebanese army able maintain peace israel israel soldiers die children israel withdraw lebanon peace treaty signed day withdraw casualties tell lebanese pe
79,1453,0,israel turkish armenian jews war israeli,0.646,0.351,15,don just like know think good,talk.politics.misc,talk.politics.mideast,rec.motorcycles,fishing rights disputed nations matter friendly fishing getting fight old stuff dealing land dispute saying fight fishing rights territorial dispute oregon territory called long resolved fishing rights small
80,695,16,people god does believe evidence say,0.645,0.414,15,don just like know think good,alt.atheism,alt.atheism,rec.motorcycles,quotation marks laws rules ones ones surely sort random chance lead society chaos
81,6510,4,health medical disease use patients food,0.644,0.432,15,don just like know think good,sci.med,sci.med,rec.motorcycles,gee risk high exercise low fat diet long term effects drug
82,9584,18,god jesus church bible christ christian,0.641,0.413,16,people god does believe evidence say,soc.religion.christian,soc.religion.christian,alt.atheism,posting deleted moderator replies generally contains error catholics believe god revealed truth explicitly recorded bible passed tradition church noted tradition church known sacred tradition ordinary human traditions believe additional truth revealed church public revelation basis catholic doctrine
83,9649,10,said people went didn came told,0.640,0.427,15,don just like know think good,talk.politics.guns,talk.religion.misc,rec.motorcycles,happened adobe kept hearing thought cult knew didn just talking heads line start
84,9879,10,said people went didn came told,0.639,0.374,15,don just like know think good,sci.med,talk.religion.misc,rec.motorcycles,mean comfortable putting bit hard evaluate straight point hands pointer fingers pointing straight forward spot wall feet away spot eyes open close left eye open left eye close right eye open right eye image jumped closed right eye right eye dominant image jumped closed left eye left eye dominant
85,6245,19,file entry output program section char,0.636,0.369,11,image software available ftp files graphics,comp.graphics,rec.sport.baseball,comp.graphics,places temp files just places current directory beg differ point batch file use launch cview dir cview resides time crash cview byte temp file root dir drive cview posted cview expert apparently thought knew better
86,4685,2,car new bike price sale cars,0.636,0.468,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,bought calculator month ago used box includes manual including high density disks packed dozens hundreds games programs need buy cable bucks use software shipping included best offer
87,1901,19,file entry output program section char,0.636,0.435,11,image software available ftp files graphics,comp.graphics,rec.sport.baseball,comp.graphics,places temp files just places current directory beg differ point batch file use launch cview dir cview resides time crash cview byte temp file root dir drive cview posted cview uses root directory drive cview trouble reading large files floppy suspect uses root directory drive image files
88,8868,2,car new bike price sale cars,0.634,0.457,17,power use water ground wire used,misc.forsale,misc.forsale,sci.electronics,integrated amplifier looking rid integra series works great problem asking obo interested email address make offer todd
89,8980,4,health medical disease use patients food,0.634,0.483,15,don just like know think good,sci.med,sci.med,rec.motorcycles,effective treating effective fact drug choice cases community acquired
90,7942,4,health medical disease use patients food,0.634,0.367,15,don just like know think good,sci.med,sci.med,rec.motorcycles,gosh famous liking makes like spite just kidding gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
91,1678,9,edu com mail information send list,0.632,0.398,11,image software available ftp files graphics,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.graphics,email post microsoft file format wish research using format disks available video clips interesting sound video thank mark gregory gregory edu fax royal institute technology department communication electronic engineering box australia
92,3870,7,time use used number point different,0.632,0.401,17,power use water ground wire used,comp.sys.mac.hardware,rec.autos,sci.electronics,clearly depends type questions asking cases fine critical information firing frequency maximum action seconds signal details signal shape resolution bit sufficient does problem cases interested level pre amplifier coupled critical point lowest frequency pass point high action slightly distorted norm
93,7505,7,time use used number point different,0.631,0.485,13,team game year games play season,sci.space,rec.autos,rec.sport.hockey,missed big difference plane exactly state positions equal addition proposed bob
94,6458,5,drive card scsi disk dos windows,0.630,0.431,11,image software available ftp files graphics,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,comp.graphics,using canon printer driver comes windows having problem printing page numbers page print page number page anybody similar problem does anybody solution problem thanks business uwo
95,6249,7,time use used number point different,0.629,0.382,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,rec.autos,comp.sys.ibm.pc.hardware,interesting idea worst case data patterns developed test magnetic media totally different patterns used detect common faults memory chips
96,7291,13,team game year games play season,0.629,0.457,15,don just like know think good,rec.sport.baseball,rec.sport.hockey,rec.motorcycles,shouldn read braves hitters aaa club dale stephenson uiuc edu baseball fanatic
97,4942,15,don just like know think good,0.628,0.339,17,power use water ground wire used,sci.electronics,rec.motorcycles,sci.electronics,heh heh heh heh laugh damn did thing actually essentially electronics just different face plate fortunately tubes don explode think want make possibility remote possible glass blows result glass tube case don kick fixed getting hold turned blown resistor feeding transformer guess original resistor b
98,9869,15,don just like know think good,0.627,0.407,13,team game year games play season,rec.sport.hockey,rec.motorcycles,rec.sport.hockey,wow probably reason current assistant coach drew won thanks news finnish netters comment
99,6436,2,car new bike price sale cars,0.627,0.407,5,drive card scsi disk dos windows,misc.forsale,misc.forsale,comp.sys.ibm.pc.hardware,brand new used seagate hard drive forsale paid includes mounting bought ended buying new computer
100,5214,13,team game year games play season,0.627,0.363,15,don just like know think good,rec.sport.baseball,rec.sport.hockey,rec.motorcycles,hey fans knocking prediction baltimore mailbox good good noticed got strong chance columbus don tell relying guy fourth fifth fourth starter pitching staff early braves chop chop michael
101,9875,15,don just like know think good,0.626,0.390,2,car new bike price sale cars,rec.motorcycles,rec.motorcycles,misc.forsale,bet price helmet okay feet higher maybe wear way worried wind blast face inability hear police helmet little damaged helmet subject fitting just like looks current getting little old crashed couple years ago hard impact head hip took care price consideration hear good cheap mildly mildly paranoid he
102,993,8,president government people said program money,0.625,0.484,15,don just like know think good,sci.space,talk.politics.misc,rec.motorcycles,current mining regulations fees set called want simply bring fees line current economic reality currently mining companies access public lands low prices like mining lobby decades managed block reform fees fact latest attempt reform blocked president clinton compromised taking mining fee budget plan
103,4815,12,key encryption chip clipper keys privacy,0.625,0.403,6,window server motif widget use application,sci.crypt,sci.crypt,comp.windows.x,begin pgp signed message btw able pgp produce signature end message procedure thanks try pgp sat signing enjoy derek pgp key available request key server pgp public keys mit edu begin pgp signature version end pgp signature
104,1728,16,people god does believe evidence say,0.625,0.473,15,don just like know think good,alt.atheism,alt.atheism,rec.motorcycles,explain position statement typing practice using think relates said
105,689,16,people god does believe evidence say,0.624,0.342,7,time use used number point different,alt.atheism,alt.atheism,rec.autos,science process modeling real world based commonly agreed interpretations observations perceptions values refer meaning example computer science value true false science based commonly agreed values interpretation observations science result values values science objective fully agreed change time v
106,9696,11,image software available ftp files graphics,0.624,0.386,9,edu com mail information send list,comp.os.ms-windows.misc,comp.graphics,comp.sys.mac.hardware,look ftp cica indiana edu pub util misc program zip close want want hope helps
107,4320,2,car new bike price sale cars,0.624,0.334,15,don just like know think good,rec.autos,misc.forsale,rec.motorcycles,yes consumer confusion early fuel crisis wanted better fuel mileage fuel cheapest fuel available usually provides better mileage comparable engines decided gas engine engine think liter big mistake engine converted engine handle higher compression lots problems cars big red flag casual observer don 
108,774,9,edu com mail information send list,0.624,0.346,5,drive card scsi disk dos windows,comp.sys.ibm.pc.hardware,comp.sys.mac.hardware,comp.sys.ibm.pc.hardware,edu tue apr received edu edu tue apr edt received edu tue apr edt message edu date tue apr edt edu david edu subject problem status running dos problem dos loaded alt del computer times rapidly hangs use obscure reset requires power switch reboot does solution problem mail edu dave thanks dave david
109,4191,11,image software available ftp files graphics,0.624,0.505,5,drive card scsi disk dos windows,comp.windows.x,comp.graphics,comp.sys.ibm.pc.hardware,written device driver use ascension bird xwindows
110,71,11,image software available ftp files graphics,0.624,0.463,6,window server motif widget use application,comp.os.ms-windows.misc,comp.graphics,comp.windows.x,developing windows based product uses screen window display data product microsoft windows enable blind individuals access data efficiently quickly email responses post summary group
