text,stars
It was pretty much what I expected except for the mermaids. Kind of a let down not to see them but still nice to see and very relaxing to sit next to with the pro shop waterfall in the background. Overall it was a nice change from the overcrowded strip for a change.,3
I liked it. The food was good. They had really nice samosas. I would have to eat again to confirm 5 stars but the prices seemed right to me. Very nice.,4
"Healthy, Tasty, Fast, Cheap, what's not to love. Awesome for mall food for sure!",5
"The place was clean and bright. The portions/burgers were small but OK. My buddy had the Chicken Parmesan burger and though it was small - he raved about it. Specifically the sauce. The bearded bald guy at the counter was super mellow - not sure if he was smoking \""Colorado cigarettes\"" or what. This place isn't bad but it's not that great.",3
"When my daughter's car had problems, it was towed to another shop. They quoted us an outrageous price to fix it and were not friendly. Not comfortable with them, we had the car towed to Ron's Service and tire Center. What a differance! Ron's was friendly, professional and the cost to fix the car was a fraction of the other place. I recommend Ron's to everyone I meet.",5
"Not terrible, not great. May be better to call ahead.....we ended up waiting a while and then they had 3 workers working on 6 people. They were doing their best but understaffed and too many customers. Their service probably also suffered a little bit because of it. Might not have been a good day for them...",3
"Service was pretty bad, but $25 for all-you -can-eat sushi is pretty good. The dishes that we had were tasty and well-prepared and they have many non-sushi and vegertarian items.\n\nSo, if you don't mind the quizzical looks and lack of attentiveness, you won't feel cheated.",3
Restaurants don't provide many gluten free or veggie options. Elevator nazis are rude. Wifi in rooms is incredibly slow. This place is stuck in 1998,3
"Every drink is overpriced.\nEmployee are very mean and RUDE, the waitress spilled drink on me and after she yelled at me and told me to get out from the club because she works there. I will NEVER EVER come back to that EVEL place!",1
"$10 dollars for three baby tacos with slivers and I mean slivers of fish or mushrooms, all on a wet plate? No thanks, that was a rip off.",2
"The Sushi is great here. Ask for the Samurai special its great. The service was great(ask for Chris). Overall Its one of my favorite sushi spots in Z next to Barcelona's in Scottsdale. I have not tried the tappen grill yet, but its next on the list.",4
A terrible company.. Went to get business cards for my new small business..talked to Travis the graphic designer about what I wanted and he seemed like he was happy to help but now a month later and after multiple calls I have heard no response..should change their name from Never Late to Never Received,1
Clean diner. Friendly staff. Nice air-conditioned environment.\nI ordered the steak and eggs special. Price was right but the steak was not steak. It tasted like mushed up processed meat reformed into a steak and left an extremely bad aftertaste in my mouth. Perhaps they should consider getting actual steak or mentioning that it is processed and seasoned.\nThe hash browns were good and made from actual potato but that is about it.,2
Food was very good. Service was subpar. The bartender seems to ignored us and was very curt and distracted.,3
"This place is an embarrassment. \n\nAwful service and disgusting food, what a delightful combination at this price. I wish i took a picture of their eggplant pizza, there was a total of four bites that had eggplant on it.\n\nWolfgang puck is a crook and should be ashamed of his hustle.",1
SUCKED!!!! it used to be soooo good years ago. The prices are way too high for what you get and on top of that they charge you $10 extra per person if you share a meal. Food was not great tasting either. I used to recommend it but not any more,1
In line for check in at Harrahs with people lined up going out the door and only one person working at check in. Amazing. Seriously one elderly lady all by herself.,1
"I love this place. Everytime I come to Scottsdale, I have to visit, a couple of times too No matter what I try, I'm never disappointed, never!\n\nLast night I had the chimichanga (sp?) and it was delicious! I felt it could have been shared but it made for a great lunch today.",3
"Oh. My. Chocolishisness. \n\nThese are ridiculously flavorful (no guessing... you'll know which is which) and uniquely textured... I would certainly NOT wait for Valentine's Day. It deserves all five stars, while definitely a luxury, totally worth it for chocolate lovers (or for any level of chocolate appreciaters).",5
"A good sandwich, but not the best I've tried. We decided to split the roast beef and jerk chicken to get some variety. I'm normally a beef guy, but I think the jerk chicken had more flavor. \n\nThe sandwiches are small and I prefer more meat. The bread to meat ratio was too far to the bread. The bread is good, toasted and hot, but I want to be able to taste more meat in a sandwich.",3
The food is always awesome. The time it takes to come out is a little to long some times. Regardless it's a great place to eat and healthy.\n\nEdit: wow the article about their cookie was interesting. To good to be true. :/,3
"High five for the quick and friendly service.\n\nWe both had the sicilian lemonade which was really lemony and sweet, just as it should be.\n\nThe pizza was well I guess ok - it was a nive thin base but could of done with being a bit crisper on the base. It was tasty though.\n\nIt's just another chain in another shopping mall but it was alright I guess,",3
"Wow, wow, wow, wow, wow. What a great find! Next husband I have, is getting a wedding band from this store. Very manly looking designs, beautiful, handsome, high quality. I'd be very proud to have a band from here on my next dude's finger. Stop by if you can. Tucked into the inner depths of Fashion Square Mall. Be sure to take a map and water and a flare gun.",5
"This place is pure crap! The players are sub-par and un-entertaining, (especially Mike Clement and Julie Martinez). , and the door men are ridiculously cheesy, and rude. \nI'm a regular at piano bars all over the country when I'm traveling (Pete's Piano Bar in Austin, Howl At The Moon in Scottsdale) and The Big Bang in Tempe is a terrible destination. Save your tips and bar $ for the aforementioned places and take my word for it.",1
The boneless wings though tasty were all batter. I picked most of it off. The burger looks amazing and was huge. Could be a little more well lit during the day but the staff was wonderful and the food was pretty good.,3
wow has this place went down hill. the service and wait staff is an absolute joke. the food has went down hill. just horrible... horrible,1
First class service and the best seafood on the strip. You definitely get what you pay for here. Loved the food and experience. Chef Josh is a great guy as well.,5
"It is so unfortunate, but since the menu change, it has really went down hill. This used to be one of my favorite places to go for a good burger, or salad, etc... But the changes are NOT positive ones.\nThe salads used to be almost works of art, now they look like pre-made wilted piles of mush. \nI thought it was bad that they closed the Big Dogs on Sahara, but maybe not???\n\nSo, so disappointing!!!!",2
Great sports bar! Really friendly service and clientele. The quesadillas are slammin!,4
"saw that it was open under a new name and owner, and thought i would give them a try\nboy was i glad i did! I had a pastrami, it was the best i ever had.\nthe place was very clean and bright\ni will be back for sure.",5
"Love the taste of these flavors! Although they change their flavors too often for me, whenever I get something I am not disappointed! \nMy fav is cheesecake and coconut, but they rarely have them together so I normally end up with one or the other. Both are delicious! \nThey are generous with the toppings and everyone here is so nice and polite. \n\nThe punch card is just the icing on the cake :)",4
"We walked into a empty restaurant at 1230! It stayed empty until we left. Thought it was busy, but it was the sushi bar next door.\n\nOrdered noodle dish. Duck was shredded. Not like picture. Ordered ramen vs rice noodle. Charged extra dollar for that.\n\nSoup was so bad, we could only eat half of our order because the soup was too strong. Chef/server had the nerve to ask us if we had duck noodle before. They knew we were from Hawaii. Who doesnt eat duck noodle in Hawaii!\n\nDont recommend.",1
"Sorry, Crazy Jim. While your place is a popular lunch spot with downtown workers, the food is average Greek fare, at best. Had a Chicken Patra Pita. Average pita, stuffed with average chicken, grilled onions, peppers and cheese, accompanied by an undistinguished pile o' lettuce. Next time I'll try somewhere else.",2
"I've eaten here many, many times because it is close to my work and there are very few options within walking distance. Usually I get breakfast on days when I need to get breakfast, because at lunch I have time to drive someplace else. \n\nThe food is usually pretty good and the service OK, too. But I've gotten sick to my stomach on a few occasions as well. If I didn't work close to here, I probably wouldn't return, but as I said options are limited.",3
"Check your silverware! Three out of four spoons and one knife were dirtY....kinda grossed me out and unsure of the cleanliness of the kitchen. I do love the food here turkey, bacon & avocado is my favorite sandwich and the mac & cheese is delisH! \nThis location Is close to where I live but I work near The District so I will probably go to that one now that I've had the dirty silverware experience",2
Love the salad bar here ! The best deal is the manager special available all the time where u can get half sandwich and a side salad(well it's a full salad bar actually) all for about 8 dollars ! Salad bar has some high quality organic veggie and greens and it is better than the over priced 13 dollars salad at capital grill I went. Love it here! \nOne star less because the sandwich is only average. Oh don't forget the free ice-cream.,4
"This place is entertaining as hell. It was a lot of fun to watch seven or so baseball games at once, and the beer selection was massive. Unfortunately I got so sick from the food that I had to stay in my hotel room for the rest of the night and miss Cirque du Soliel.",2
Gotta be one of the nicest and fanciest rooms I've stayed in in a very long time. The bed was so comfortable I ended up hitting the snooze button multiple times just so I could rest longer... not sure if that was a good thing or a bad thing,5
Worst service. Had reservations and was bring our child to celebrate her Bday. Had to walk out after an hour of waiting. Manager was passive and didn't care. DO NOT GO HERE unless you have to do the touristy thing!,1
These guys rocked. They came on a Sunday (which I thought would be more common in Vegas) and we're scheduled to arrive 3-5. They called at 3:30 to let me know they were running behind a little even though they still arrived in their time window. Jacob and Roy were very nice and professional. They did a thorough job and the carpets look awesome. They even sanitized and deodorized where the dogs marked the floor. I'll recommend them and use them again myself.,5
I would rather go to Walmart on Christmas Eve than go to this Kmart at its slowest time. Took me 40 minutes and four employees to get the item I ordered online to pick up in store. Did I mention the ten minute wait to even get someone to the help counter because the 8 cashiers they had were too enthralled in a riveting conversation.... Never again.,1
I'm sleepy so this will be short and concise. Had the garlic mushroom omelet. It was delicious! Nice patio to sit and eat breakfast. Will definitely be back!.,4
"2 for 1 drinks, don't remember the rest. We had the best time, I think. Friendly staff and you can smoke inside, I think. They play country music! (I think) \n\nIn all seriousness this place is great, the girls are sweet and keep the energy up and give away free shots. Plus the bouncers bring their A game. Defiantly stop by if your in New York New York.",5
"Was great, but tried to go today and it's closed! It says they are converting it to an event room.",5
"Been here many times and it's always the same. Slow, confused service. I only go back because other Cave Creek bars aren't much better. Now with Oregano's opening I don't see myself coming back to Harold's anytime soon.",1
"Had a cat emergency, told by local vet to go straight there this morning. Arrived 10 mins to 8am, vet had already left and was told they were closing. Their hours are posted as closing at 8. Receptionist called vet to see if she would come back and would not. What kind of emergency clinic is this??? I'm new to area too so it's not like I know where to go. Had to go across town to another clinic.",1
"Just transplanted from SoCal! I have been staying over at my fathers house. He took me here for dinner one day. He used to play with his band here years ago with the owner. The food here is awesome, I have had their pork carnitas, and their steak picado. Both plates were great. I will come back here more often.",4
So after the billet bar finally closed Bar 350 popped up and I hoped they would get away from the wannabe biker bar that billet was and the wannabe crowd that always hung out there. Unfortunately my hopes are not going to come true. Inside not much has changed and the crowd is still the same as well from what I saw on Sunday. I hope this changes eventually cause it's a great location right across from RnR and the prices for drinks are cheap.,2
Rubio's is on the corner. It is inexpensive. The food is ok. Nothing to get excited about.,3
"We gave this place a try for breakfast and dinner, and were disappointed both times. The breakfast experience was terrible- extremely slow service, ran out of coffee, food came out wrong, took 10 minutes to get hot sauce while over cooked eggs got cold. Food was way over priced, especially for dinner.",2
"We were on our way home from 4 nights at the Rio and ran into traffic at Stateline, so we turned around and stayed a night at here. We had a great time. Kids saw a movie, excellent poker room, and the courtyard caf\u00e9 was pretty good. Next trip we're going to stay here.",4
"went there with a group of 6 on a sat night. Ordered a bunch of food, most of it was good, seafood dishes were weak, little to no seafood, \n lots of sauce and bean sprouts. Service was bad. Seems like a bunch of young kids are running the place and really dont give a damn.",2
"Hatte heute mitgenommen, es war sehr lecker und frisch.\nEin bisschen fester Rollen k\u00f6nnte man es da die Rollen fast aufgegangen sind und etwas mehr wasabi w\u00e4re auch gut",5
"AMAZING PEOPLE! They provide great services in grooming and boarding, and today they just warmed my heart. They donated their time to help an abandoned dog, on a holiday no less. If your looking for exceptional care and people to groom or board your loved furry friends, Planet Petopia is it!!!!!",5
"My Partner and I flew into Phoenix last week for the Christmas Holiday and we stopped here for lunch before heading out to the family. I was fairly impressed with the cuisine and the ambiance.\n\nI had a burger with all the trimmings and it was prepared perfectly. I would have liked a few more fries with the burger, but I probably didn't need them.\n\nI have to say the 80's hair band music videos playing were a little weird though.\n\nIf I find myself back in Phoenix, I will eat here again.",3
Being half-Asian growing up in Gastonia I never had my hair cut by an Asian stylist for 22 years. After the FIRST haircut I was addicted! The staff is welcoming and give the best head massages during shampooing. The stylist really studied my hair beforehand to know how it would lay after being cut and styled. I enjoyed my experience so much I returned every 2 months! I've lived overseas for the last year and a half and can't wait to go back!,5
Food is average at best. Third time here and the peaks are the only attraction. Way better than hooters. Plenty of tv's to watch the games. Great location. Don't make a special trip for the food,2
Second time this week. Great on the hibachi side and sushi is just as good. Happy that this location is near me because there isn't too many hibachi style restaurants in the Northwest side of Vegas. Will keep coming back!,4
"Ewww, the food here is terrible. Nothing I had tasted good. It tasted like it had been sitting under the food warmers for hours. The service is luke warm at best. Just skip it. There's so many other places out there for good italian food.",1
"Food is made fresh... its good, quick and easy! Only drawback is that you are essentially eating on the casino floor ...but got to watch a hockey game while I ate.",4
"Tried the brisket the other day, and it was excellent. Juicy and tender, it's a definite re-order. They put the sauce on top, next time I'll ask them to put it on the side, so I can just eat some brisket by itself.",3
Always hits the spot when your sweet tooth is going Crazy! My favorite the Chocolate Chocolate Chip!!,5
"This is a convenient location near the Cobblestone Gas/Car Wash inside the Walmarts near the 101/FLW Blvd exit.\n\nThe service is good, the food is ... well McDonalds good, and it's a good place to wait for your car next door at Cobblestone or Discount tires!\n\nEnjoy!",3
"Lots of options at good prices. More creative menu offerings then, let's say, Denny's. I also love the Wednesday free pie promotion. I've had the Fresh Fruit & Chicken Salad and the Southwest Salad. The salads were large and filling and the ingredients were fresh. I've also had the tomato basil soup and it was all right but a little on the oily side. Service is friendly and welcoming.",4
"I'm updating my review for this place because management has tried very hard to rectify all the problems I've experienced here. I received some gift certificates for free pizza and my food came hot, fresh and most importantly, fast. So far I'm pleased that things seem to have turned around but I\""ll be keeping my eye on this place. I really hope these changes for the better are permanent!",3
"I can't believe this place. I have starving children at home, they take my entire order and at the end, they tell me that the 3.4 miles to my house is on the wrong side of the street and can't deliver to them. I offered $10 tip and then a $20 dollar tip and they still refused! Said he manager wouldn't allow it. Well, there's major storm of the century outside right now we're left without very many options. Thanks Jimmy. You suck.",1
"We stopped in before seeing a show and will be back. The restaurant had such a unique atmosphere and the breakfast was outstanding. I look forward to trying their Korean BBQ at some point. Our waitress seemed a little out of sorts and started talking to a customer next to us who was an awkward acquaintance, which was distracting for us seeing as how close the tables are. Overall an excellent experience.",4
It doesn't get any better unless you go to a gastropub and get a burger. \n\nThis place truly does cook what the customer wants. The secret menu has some creative and amazing eats. Well done fries are my latest favorite.,4
"Uhmmmmmm, wanted to try something new while in vegas so I yelped this place. I got the turkey burger it was 14.50, just throwing that out there, and it wasn't anything amazing for me to come back.. maybe it was because I wasn't that hungry? Idk but I also had the strawberry shake and it was good too but not worth the 8$, but we r in vegas so what did I expect right? Anywho not sure id come back here. and not quite sure why its so highly rated but ehhh, id just go to in n out. ALOT CHEAPER",1
"I like the Bookmans mini-chain, but the book selection at this store was kind of sad. There were lots of empty shelves especially in the nonfiction section. Maybe they need to move some books from their other stores -- or offer sellers more money. The North Phoenix location is way better.",3
"Service was good by Michelle but was told we could not order ribs in the cafe, what's so said they cooked it 4ft from our table for Benny's Smokin ?? Plus they have in the same menu as in cafe makes no since",1
"When you want wings, you want to head to Hooters...try to get seated in Ashley S's section (preferably when Mike Lee is working) and you'll get INCREDIBLE service matched only by Ashley's adorable smile!",5
"Don't count on a roll-away for your family. They have a self imposed policy of 2 beds to a room and will not change no matter the circumstances, expectations, or that they advertise roll-aways available.",1
"IHOP is IHOP.... so the 2 star rating is not for the nation wide chain, it's for this specific location. This IHOP has really really bad service, food takes a long time to show up, drink refiles never come, and it's not as clean as I would like.",2
"Great buys cut too. My 2 year son enjoyed it and was treated like an adult, not a kid, which made him feel grown up. Thanks guys!",5
Food was exceptional for a brew pub. Beer was some of the best I've tried. Service was prompt and courteous.,4
"The ahi tuna tacos that everyone talks about. ..they are completely raw and cold. I wish they had a seared option. However, I was thrilled with the veggie enchiladas. Vivian, our fantastic bartender, allowed me to get them 2 ways!",4
Premium drinks. Whether I'm in need for caffeine boost or a relaxing personalized and seasonal cocktail. Have always been so pleased with their product!\n\nFood and pastry selections never disappoint.\n\nIt's not surprising that this place is busting at the seams busy but I can't say that I've ever felt neglected or that their quality of service/product has suffered!,5
"By far, the friendliest Chipotle I've been to. Awesome staff, above and beyond service. Thank you guys for being so awesome here!",5
Server could've been more attentive. Sat in dining area instead of bar. My steak too done.,2
This place is very clean and has a friendly staff. Our favorite was the sisig. Too bad they took it off the menu. Their sinigang and lechon kawali are delicious.,4
"I recently shit my pants while having a picnic with my girlfriend. I waddled to the bathroom to relieve and clean myself up and noticed there were no stall doors. Anybody could of walked in and saw a grown man with shit all over himself. After i cleaned up i went to wash my hands and there was no soap!! Nice park though, I caught many trout from that pond.",4
Wait times seem rather longer than usual. Made a basic order and took rather long for them to still get it wrong. Employees definitely don't want to be there and show it. Some even tell you when you ask them how they are doing. Seemed like a rather new location and wanted to try it out. Been twice since it opened and both times were slow and messed something up in my order. I'll just look for another place to stop on my way to the office.,1
"My husband and I were excited when Modern Grove opened, we live near by. We've been there 3 times. # 1 beers are NOT cold. #2 service is slow and often have to look for your server #3 wait time for food seems a little too long. We have always been able to get a seat without having to wait. We have been disappointed with them. We will not go back until we have heard better reviews. I hope the management looks at these reviews and attempts to make changes.",2
"I own a coffee shop in the same Plaza as the Oatmeal Cafe and I can't start my day right without this awesome oatmeal!!!! Very flavorful, healthy and super creative! Melissa can make it into pancakes, burgers, cookies you name it. She carries incredible, authentic teas as well. It's a great place to hang out with your friends for breakfast or possibly lunch. The owners are very friendly and always make time to chat with you! Love this place!!! Jennie",5
"Basic chinese food, you're getting exactly what you pay for duh. Close to my home, quick run, lots of food for the price!",3
"I've been here for two mini-shows with the performers at the front of their small stage in front of the piano. Both times I sat at the bar with my diet Coke.\n\nI like the place, but since I'm not a drinker, I can't rate the place like others can. It's a fine venue for the reason I've been there, but it's not a destination place for me.",3
Amazingly delicious burger with even tastier fries. I also had a PBC&B concrete and it was so flavourfull and rich.,4
"The place was less crowded this time and the restrooms were a bit cleaner. The restrooms do look and smell like they could use a good bleachy scrubdown, walls and all. The drinks were tasty and service quite friendly.",3
the food has great presentation but the decor is drabby and needs to be more lively with more style. the tuna poke was excellent as well as the cookie with ice cream. i would go back for more food to enjoy.,4
"My parent's love this place and now, so do I. It is New York Style pizza (thinner crust and longer slices) very much like we got back home in NY. Dont let their prices deceive you as it is pretty good!",4
The noodles were bland. I ordered the noodles with steak and my friend ordered the curry noodles. Both were bland. The prices were good and the service was friendly but this place was not worth going back to especially since it's in the same shopping square as Monta.,2
"Worse Home Depot lazy waited 30 minutes to get help in electrical department. The CUSTOMER SERVICE person told me\"" I paged the person what else can he do! \""\n\nGo to Val Vista store",1
"OMG! Their cookies are delicious! I had the peanut butter cookie (awesome!), rice krispy treat (delicious!), ice cream sandwich (okay...), & the sugar cookie (pretty good...).\n\nThey do accept credit cards, but only on orders that are $5 or more.",4
"Zero stars, if I could give it. This place SUCKS. The waitress shows up to take your order, drop off your food and give you a check. Doesn't stop by to see if you need anything. Place is filthy. Food is terrible. Service horrible. Will never return to a Long Wongs restaurant.",1
"Food is ok but service is good, I mainly come here to watch the football game and have a few drinks TVs on every wall with different games going on and the patios big screen it's awesome.",4
"We came back for the fajitas......and weren't disappointed at all!\n\nThe fresh chips, salsa and beans, and grilled onions & peppers were delicious and a great way to start the evening.\nWe both ordered the fajitas for two with pork and chicken. My pork was packed with flavor, tender, and most amazing. I'm totally not a fajita kind of guy, but you give me this place as an option; We'll be back!",5
"First time there, went to the lunch buffet with a couple of friends and it was amazing.\nTons of vegetarian options. Love it!",4
A few friends and I visited Mt. Everest India's Cuisine and we all agreed that we enjoyed this place a lot. The service was very good - we felt neither rushed nor neglected. The owner is good at guiding hesitant diners to the type of dish he feels each would appreciate. We had a lot of fun sharing 5 different dishes- all were delicious.Definitely a place to return to.,4
Had the breakfast buffet for 2 @ 30$ per person. I would have liked drinks to be part of the package. \n\nSome of the items were good but they don't make any customizations at all. Food is already pre-prepared.\n\nThe ceviche and other seafood options were bad.,2
This place is like a The Vitamin World on steroids with a smoothie bar attached. I go for the alkaline water because they have 10.5 ph balanced water for $2 a gallon. The alkaline water helps keep my blood sugar levels lower because most diabetics (like myself) have an acidic body. Alkaline water & exercise is saving my life!,5
