rank,doc_idx,lda_cluster,lda_topwords,lda_maxtheta,lda_entropy,embed_pred_cluster,embed_topwords,true_newsgroup,lda_cluster_as_ng,embed_pred_as_ng,text
11,2431,0,space nasa launch earth data research,0.792,0.451,3,don just like people think know,sci.med,sci.space,sci.med,cut university arizona arizona suggested reading rates information physicians resource line medical newsletter page volume number april articles low levels attacks american association new study published american association shown low send people emergency treatment seattle based study showed rough
12,804,2,edu image graphics com file software,0.790,0.334,3,don just like people think know,sci.med,comp.graphics,sci.med,archive typing injury faq software version december faq actually richard post faq stuff questions want send mail richard dan software tools help file describes tools primarily software help prevent version includes information tools programs digital let know know tools information opinions ones upda
13,283,3,don just like people think know,0.787,0.454,1,year game team good games hit,comp.graphics,sci.med,rec.sport.baseball,think mixed pascal wouldn complain steve
14,1858,0,space nasa launch earth data research,0.771,0.410,3,don just like people think know,sci.space,sci.space,sci.med,understanding start occur growing distance pluto sun orbit effects pluto vice george
15,1884,4,gun guns file law people firearms,0.766,0.468,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,member nra years recently hci wanted paid minimum membership sent nra
16,1326,3,don just like people think know,0.766,0.388,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,near future federal come arms help dangerous thinking criminal fault amendment dead accept way know ways just need things country people need replace guns deadly make like water easier guns really old design long design better sure come real nasty stuff tried getting rid guns moving track really wan
17,559,0,space nasa launch earth data research,0.765,0.489,4,gun guns file law people firearms,sci.med,sci.space,talk.politics.guns,press release natural resources defense council new data major water milwaukee type disease national desk environment writer contact olson natural resources defense council washington april internal data released today natural resources defense council large water systems cities boston san francisco
18,1915,2,edu image graphics com file software,0.764,0.476,3,don just like people think know,comp.graphics,comp.graphics,sci.med,impulse shipping imagine close amiga imagine terms features
19,2520,2,edu image graphics com file software,0.748,0.459,3,don just like people think know,comp.graphics,comp.graphics,sci.med,netters currently doing investigations surface familiar topic information sources allow surface thanks help
20,2089,2,edu image graphics com file software,0.744,0.495,3,don just like people think know,comp.graphics,comp.graphics,sci.med,built motif machine works fine added objects used flying easy cool brian
21,1628,0,space nasa launch earth data research,0.738,0.547,2,edu image graphics com file software,sci.med,sci.space,comp.graphics,europe proceedings european congress sci
22,2091,2,edu image graphics com file software,0.735,0.380,0,space nasa launch earth data research,comp.graphics,comp.graphics,sci.space,user state art image processing analysis package runs spectrum high performance computer platforms operating unix window created meet daily research needs scientists investigations using satellite data remote sensing techniques graphic interface features interactive interface pop point makes image p
23,2395,2,edu image graphics com file software,0.734,0.527,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,like space engineering educational arizona area mail responses appreciated mail feed try addresses
24,421,3,don just like people think know,0.733,0.415,0,space nasa launch earth data research,sci.space,sci.med,sci.space,somebody mentioned mission meaning weight tight margin mission haven heard hint needed said small liquid module let make cheaper mass shuttle nasty products people gone efforts clean certainly aren going
25,499,0,space nasa launch earth data research,0.731,0.539,3,don just like people think know,sci.med,sci.space,sci.med,cut volume number april health info com network medical newsletter editor david north street suite arizona usa telephone fax copyright david rights license granted electronic media fees charged long text copyright notice license attached portion health info com network newsletter distributed article
26,2588,3,don just like people think know,0.731,0.522,2,edu image graphics com file software,rec.sport.baseball,sci.med,comp.graphics,just sig bob hey kids pictures dead parents mail
27,2569,4,gun guns file law people firearms,0.727,0.595,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,predict outcome study went wrong federal assault waco result future assaults type conducted scale military operations shoot kill dave netcom com
28,1047,3,don just like people think know,0.717,0.437,0,space nasa launch earth data research,sci.space,sci.med,sci.space,assuming won moon base unless makes profit actually does gives larger leads able spend money military including wow space stuff assuming paying able hardly think couple significant activity moon
29,2592,3,don just like people think know,0.715,0.483,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,really stupid rules late century quite different today posted current rules don make look like things late hundreds original constitution militia arms simply currently german special significance words simply special emphasis pete com
30,1814,2,edu image graphics com file software,0.712,0.418,3,don just like people think know,sci.med,comp.graphics,sci.med,provide reference lost weight does weight starting weight oral researchers gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
31,2208,4,gun guns file law people firearms,0.708,0.457,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,briefing documents raid similar local property sold prior raid recent coverage believed county came conclusion report released office bad old man nearly blind didn drug
32,92,0,space nasa launch earth data research,0.706,0.463,2,edu image graphics com file software,comp.graphics,sci.space,comp.graphics,job opportunity systems engineering research institute institute science technology looking following position need end june interested send cad lab floor systems engineering research institute institute science technology company systems engineering research institute title senior research scientis
33,871,1,year game team good games hit,0.702,0.529,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,watch shouldn watch maybe watch suck watch
34,378,4,gun guns file law people firearms,0.701,0.591,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,line believe gun control gun
35,1584,3,don just like people think know,0.701,0.503,4,gun guns file law people firearms,sci.med,sci.med,talk.politics.guns,don just write tell firing think sending copy letter charge clinic works maybe don letter don victim just control make feel great
36,976,3,don just like people think know,0.695,0.583,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,hate bad news think time phillies usually play eastern time time usually eastern time mountain time pacific time times given mountain time starts check map case wrong certain mountain time thanks listening
37,955,3,don just like people think know,0.694,0.565,2,edu image graphics com file software,sci.space,sci.med,comp.graphics,want fun plug basic use auto functions produce bar based hours day light
38,840,3,don just like people think know,0.693,0.433,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,steve nice don quite understand think firearms wearing nra isn straight state sad people won accept responsibility defend laugh expect government protect friends sound like bunch guess waiting knowing solve problems let know answers lines case thing actually americans like wouldn matter did wouldn a
39,131,0,space nasa launch earth data research,0.693,0.487,3,don just like people think know,sci.space,sci.space,sci.med,reference limits guns launching solid rockets payloads provided data solid motor high solid motor usually substantial percentage example space shuttle percent technique use structure structure looks like set suspect process used form words bunch forms strong network effectively directions remaining 
40,187,0,space nasa launch earth data research,0.690,0.542,2,edu image graphics com file software,sci.space,sci.space,comp.graphics,received copies soviet space space station mir handbook aerospace problem getting ready fax material include
41,838,3,don just like people think know,0.680,0.429,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,sure got information looking post general public load image root window add line end file assuming course think pretty explain going leave terminal till kill knew hope helps
42,65,3,don just like people think know,0.678,0.483,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,surrender arms soon officers collect resistance useless don tell right absolutely nearly fell chair wonderful mike
43,1068,4,gun guns file law people firearms,0.677,0.448,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,actually won tell add number murders drug self end number larger number self defense committed btw didn honestly count let try claim comparison costs self defense benefits wrong comparison doesn measure costs self defense doesn measure benefits example goal kill relationship stop number number isn e
44,1143,4,gun guns file law people firearms,0.675,0.444,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,didn bother writing terrible represent instead wrote letter exactly strongly simply stated batf approach military style assault firing house knew kids forwarded letter batf responded directly follows text reply pretty closely intend send letter directly return section letter received parts atf loss 
45,961,3,don just like people think know,0.675,0.590,1,year game team good games hit,comp.graphics,sci.med,rec.sport.baseball,soon got date andy andrew odd
46,943,2,edu image graphics com file software,0.673,0.440,3,don just like people think know,sci.med,comp.graphics,sci.med,likely sounds like arm need medical attention doing weight gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
47,2384,0,space nasa launch earth data research,0.669,0.469,3,don just like people think know,sci.space,sci.space,sci.med,raw materials cost getting space cost effective entire world economy long space built allen
48,1075,4,gun guns file law people firearms,0.667,0.470,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,south american countries political disappeared family notice death body apparently think good idea federal government action koresh followers days engaged psychological used heavy military equipment citizens compound caught gas holes building responsibility big brother right
49,2505,1,year game team good games hit,0.665,0.621,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,subject let forget designed mets stadium think box seats oriented right angles baseball parallel football course gone truly good football stadium mets stadium seats far action mets particular stadium truly
50,811,1,year game team good games hit,0.664,0.515,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,idea care like point got plate appearance hitter walk hitter sure think got hit hitter
51,25,3,don just like people think know,0.663,0.451,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,pro pistol automatic weapons don realize rest laugh don make just make washington seeing consider behavior supposed learn article treat people like dogs
52,957,0,space nasa launch earth data research,0.661,0.519,3,don just like people think know,sci.space,sci.space,sci.med,sure using oil hydrogen electric economy likely efficient long run laws supply demand reach critical stage
53,2427,3,don just like people think know,0.659,0.455,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,sources wanted read comp graphics group anybody interested glad hear somebody looking source code method read common literature think little examples help understand works common pascal hope help
54,282,1,year game team good games hit,0.659,0.507,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,think bad just wait spot yes wonder win manager believed winning saw losing
55,776,3,don just like people think know,0.658,0.444,0,space nasa launch earth data research,sci.space,sci.med,sci.space,totally forgot original post posted allen post stated addition post finally admit true come little doing working integration simply attack know course fee administration allen organization costs difference legitimate costs libraries things support program originally stated stated couple say true all
56,1126,3,don just like people think know,0.658,0.474,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,think legal term homicide nice brain general lack thoughts public tend agree said assume jim
57,2143,1,year game team good games hit,0.655,0.470,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,wondered thing mentioned thought just making mistake said examples years gave stats players league stats lie guess effect expansion draft takes talent equally making team major league talent calling players normally expansion
58,149,3,don just like people think know,0.653,0.465,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,stuff deleted david good point cares kind gun got lying ground dead stuff deleted good point taken lots lead flying cops innocent gets caught points taken guess having makes better obviously correct discussion think situation little carefully point exactly david agree like said just assuming bullets
59,1599,2,edu image graphics com file software,0.652,0.510,3,don just like people think know,comp.graphics,comp.graphics,sci.med,created interesting using unable create looks realistic probably gif using bit best type pictures use thanks
60,1422,3,don just like people think know,0.651,0.479,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,anybody figure box score make absolutely sense local way door mets box good seconds morning wondering hell wouldn make sense use
61,1837,4,gun guns file law people firearms,0.651,0.572,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,actions course opinion differ greatly doubt fbi blame jmd handheld com
62,1119,0,space nasa launch earth data research,0.650,0.462,3,don just like people think know,sci.space,sci.space,sci.med,launch complex american way joke space agency wanted send astronaut surface sun thing did solve problems sending man surface sun simple night larc nasa gov larc nasa gov
63,978,1,year game team good games hit,0.648,0.581,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,hmm thought predictions especially college football day nice past mapping plays teams future looks good compared
64,354,3,don just like people think know,0.647,0.479,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,sure time read tiff happy think arbitrary carefully chosen number choice begin file just use letters tiff don think bothered support word orders tiff readers actually don
65,2016,3,don just like people think know,0.641,0.598,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,saw weekend knew pitchers needed help watching
66,552,2,edu image graphics com file software,0.641,0.539,3,don just like people think know,comp.graphics,comp.graphics,sci.med,got work built sun bugs simply bug variable defined twice different modules needed setting core steve
67,1051,0,space nasa launch earth data research,0.640,0.411,3,don just like people think know,sci.space,sci.space,sci.med,astronomy physics claim looking field theory forces universe explained single set laws equations ignoring excellent years late general theory physical universe calls built fundamental physical space time physical universe entirely component motion existing dimensions units forms space time physical 
68,588,2,edu image graphics com file software,0.640,0.442,3,don just like people think know,comp.graphics,comp.graphics,sci.med,new product ibm called imagine just started shipping yesterday personally blow studio impulse version ibm standard key animation apply special objects like things nature texture maps standard live video live video maps idea run think let low price fool product comes animation does know imagine maili
69,1032,1,year game team good games hit,0.639,0.565,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,infield fly rule unless case just heads base running opportunity
70,2201,3,don just like people think know,0.639,0.488,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,millions cases say firearms criminals think actually cases think wrong ask fbi got proof look used cool want argue space woman short worthless causes lie like vast majority million firearms country used anger cause recovery near future federal come arms help dangerous thinking criminal fault overcom
71,1676,0,space nasa launch earth data research,0.638,0.583,3,don just like people think know,sci.space,sci.space,sci.med,suppose managed moon rocket working rocket hadn blown pad setting saturn went gone head determined set base earth orbit moon mars tried setting lunar base nations think military value lunar base value going mars short run moon
72,2412,4,gun guns file law people firearms,0.638,0.487,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,vast majority life having use display firearm given society experience safer rid guns possible considering uses include self defense hunting target shooting collecting don buy notion vast majority people don use display firearm let say true point rid guns possible weren used
73,1921,2,edu image graphics com file software,0.637,0.489,3,don just like people think know,sci.med,comp.graphics,sci.med,probably meant blood pressure went normal ask meant answer person gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
74,812,3,don just like people think know,0.636,0.462,0,space nasa launch earth data research,sci.space,sci.med,sci.space,like lot trouble probably better newer launch systems don think big cost advantage using russian systems long maybe years lockheed place ask probably buy proton market proton world wide russia know lot haven heard launches assume looked yes comparable suppose looks like built just pick spot message 
75,485,2,edu image graphics com file software,0.635,0.508,3,don just like people think know,comp.graphics,comp.graphics,sci.med,didn create grey level images display time requires total exposure time image time
76,893,3,don just like people think know,0.634,0.537,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,threat affected note available info says security increase stats say increase rational yes nope doesn happen instead switch change property crimes improvement economic sure killing andy
77,2407,0,space nasa launch earth data research,0.632,0.419,3,don just like people think know,sci.med,sci.space,sci.med,cut limits suggest using drug drugs kind aids treatment number drugs fight treating people doesn happen real world anymore said mark university california san francisco recent findings rapidly infection physicians begin pushing harder early treatment patients new disease push american medical news v
78,941,2,edu image graphics com file software,0.632,0.546,3,don just like people think know,comp.graphics,comp.graphics,sci.med,severe problem news ftp edu pub pull tar
79,2236,3,don just like people think know,0.632,0.470,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,yes couple years ago did comparison products changed goes far implementation fine personally hate low level structure impossible easy use support rendering methods software hardware support documentation good easily portable systems happy specific questions
80,562,3,don just like people think know,0.632,0.433,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,players come young good young later damn afraid say braves worth playing year lopez worth playing opinion happen agree believe word alomar fine defensive catcher statement solid reason bringing age long feel hit bit lopez does defensive imho sorry new don know law don believe era interested pitchers
81,2139,2,edu image graphics com file software,0.629,0.634,3,don just like people think know,sci.med,comp.graphics,sci.med,jeff time type love reference paper thanks email edu
82,2144,2,edu image graphics com file software,0.629,0.661,3,don just like people think know,comp.graphics,comp.graphics,sci.med,need hit software product encourage software sales product multi media multi media digital television products capable reasons buy news group write hit software
83,458,4,gun guns file law people firearms,0.628,0.469,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,waco city people population raised people feds state police officers tell room miles compound weeks ago felt paranoid life state police
84,1348,3,don just like people think know,0.627,0.578,0,space nasa launch earth data research,sci.space,sci.med,sci.space,sounds sign year use certain parts space station built designed company companies like small return certain tax right certain products certain given make end easier taxes contracts just work people make money work
85,739,2,edu image graphics com file software,0.626,0.513,3,don just like people think know,sci.space,comp.graphics,sci.med,nick level different levels heard care tommy mac tom radius vision increases ibm msu edu circumference mystery grows
86,845,0,space nasa launch earth data research,0.626,0.643,3,don just like people think know,sci.space,sci.space,sci.med,comet orbit comet galileo sure added list years earth based observations help positions comet probably won different galileo did image came earth based radar
87,69,0,space nasa launch earth data research,0.626,0.446,2,edu image graphics com file software,comp.graphics,sci.space,comp.graphics,australian pattern society papers conference digital imaging computing techniques applications location university date december second national conference australian pattern society event provide opportunity persons computer vision digital image processing analysis aspects pattern informed area exc
88,267,3,don just like people think know,0.625,0.623,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,hoping produce update week send info significant critical home run seen season
89,507,3,don just like people think know,0.625,0.450,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,issue tanks used detroit fired main guns incorrect don read attempt make point risk point claim regarding tanks used detroit text follows did merely claim tanks used claimed fired main guns quite effective claimed used did say told did main guns continue away claim defend poster responded did use ta
90,118,0,space nasa launch earth data research,0.622,0.499,2,edu image graphics com file software,comp.graphics,sci.space,comp.graphics,university nasa lewis research center computers day practical applications computer workstations efficient processing design manufacture university ohio speakers graphics visualization jay nasa integrated product development michael network workstations aircraft analysis brian nasa jason williams st
91,702,2,edu image graphics com file software,0.621,0.461,3,don just like people think know,sci.med,comp.graphics,sci.med,culture virtually certain patient lyme suppose lab normally false gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
92,2011,2,edu image graphics com file software,0.621,0.483,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,current orbital elements line element sets carried bbs updated daily possible documentation tracking software available service satellite user community current elements current shuttle mission provided bbs hours day using data bits stop bit element sets updated daily shuttle elements documentation 
93,2274,3,don just like people think know,0.620,0.445,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,don remember figures exactly deaths texas caused guns killed car accidents yes low high influence figures pretty high right believe texas liberal gun laws usa suffer agree live freedom note insurance pay buy paying return gets live people want playing music loud hell trying say live society usa ques
94,95,3,don just like people think know,0.619,0.616,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,medical imaging good ray tracing background interested field point sources better experience want talk going working
95,2225,0,space nasa launch earth data research,0.619,0.506,3,don just like people think know,sci.space,sci.space,sci.med,thank dennis usual highly detailed posting question proton handled major handled uses long york proton launched western site compare centaur lift close
96,2180,4,gun guns file law people firearms,0.618,0.508,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,heat cold list countries low death innocent people jmd handheld com
97,18,3,don just like people think know,0.617,0.581,2,edu image graphics com file software,sci.space,sci.med,comp.graphics,nice little tool called request shows given times code written don know like idea editor right program things
98,1268,3,don just like people think know,0.617,0.553,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,did assuming guess surprised hear guys don think guess tiny fraction folks reading post agree kind doubt agree going points time baseball brought aaa baseball grounds sex wasn majors seen game hand experience ability seen talk shows point balls knows better missing point role game wouldn promote pri
99,1602,2,edu image graphics com file software,0.612,0.462,3,don just like people think know,sci.med,comp.graphics,sci.med,extremely rare humans usually involved just mess sort vision don gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
100,1948,4,gun guns file law people firearms,0.612,0.440,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,edu daniel happened waco fault batf proper equipment personal captured compound initial assault happened gone door serve warrant like times wouldn needed initial assault attorney reno wouldn able told stories protected rest group people kept miles batf needs people better weapons meet able use force
101,2199,3,don just like people think know,0.611,0.452,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,running arm processor arm arm does software standard rom bit colour resolution computer bit colour support real time supposed couple arm used arm clock arm say flat depends really talking essential run kind speed memory stop saying things hopefully working arm mike don pay say doesn beat eat postscr
102,1667,3,don just like people think know,0.609,0.590,1,year game team good games hit,rec.sport.baseball,sci.med,rec.sport.baseball,think left mind trying block supposed play left night like need add team
103,1015,0,space nasa launch earth data research,0.609,0.549,3,don just like people think know,sci.space,sci.space,sci.med,brief political cultural item radio station washington music station large high officials imagine radio station diamond expensive morning heard commercial space station project didn catch guess pulling
104,592,0,space nasa launch earth data research,0.609,0.638,3,don just like people think know,sci.space,sci.space,sci.med,new york times just wrote high temperature gas using weapons grade fuel safety products make remaining use apparently project led general san diego funding government built operated
105,775,0,space nasa launch earth data research,0.609,0.517,3,don just like people think know,sci.space,sci.space,sci.med,read right saying essence larger economy nations funds waste lunar facility certainly case apollo real lunar probably require continuing military scientific commercial reason just money approach military purpose possible commercial purpose likely scientific purpose years lunar bases funding levels l
106,1887,0,space nasa launch earth data research,0.608,0.555,3,don just like people think know,sci.space,sci.space,sci.med,nope separate programs atlas generation titan second generation titan titan launchers based generation heavy essentially common programs yes programs despite names titan titan completely different didn use mind launch facilities
107,2110,4,gun guns file law people firearms,0.608,0.655,2,edu image graphics com file software,talk.politics.guns,talk.politics.guns,comp.graphics,ohio house representative thursday april representatives davis johnson van white boggs section code add game list permit chief division department natural resources hunting make allow hunting ohio pushing
108,2379,0,space nasa launch earth data research,0.607,0.485,3,don just like people think know,sci.space,sci.space,sci.med,sure mary henry understand speed near wind like fluid wind away edges place begin force compression power vehicle high drag drag reduced essentially cross area aircraft remain constant areas wings cross area wings
109,1250,3,don just like people think know,0.607,0.454,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,dave think means dave tga available directory wuarchive versions version view files create bunch week away bit definitely ready spread written interface gets easy figure noticed crash try using option sure don source think written comes getting thing work right tell took hours time just figure just 
110,1434,3,don just like people think know,0.607,0.548,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,just good electronic senior computer graphics canada office lot putting lot resources know developed happy post things develop start
111,2324,2,edu image graphics com file software,0.606,0.550,3,don just like people think know,comp.graphics,comp.graphics,sci.med,think called frame supposedly hidden line removal library think wrong order magnitude jon mac
112,1681,0,space nasa launch earth data research,0.606,0.501,3,don just like people think know,sci.med,sci.space,sci.med,good source information method cancer industry prize ralph non profit organization called people cancer formed purpose allowing cancer patients access information regarding cancer cancer industry shown highly results non toxic interested cancer therapy contact people cancer box fax peace
113,2463,2,edu image graphics com file software,0.604,0.520,3,don just like people think know,sci.med,comp.graphics,sci.med,short changes feds way difficult lot best way getting won hurt gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
114,1649,0,space nasa launch earth data research,0.603,0.639,3,don just like people think know,sci.med,sci.space,sci.med,center laser small material center near edge entirely different action different place
115,1222,1,year game team good games hit,0.603,0.518,3,don just like people think know,rec.sport.baseball,rec.sport.baseball,sci.med,say buy contract let season able sign goes ball player
116,2153,0,space nasa launch earth data research,0.603,0.513,3,don just like people think know,sci.space,sci.space,sci.med,command spacecraft tells don hear earth hours assume wrong spacecraft attitude search mode attempt signal earth
117,1176,3,don just like people think know,0.603,0.487,4,gun guns file law people firearms,talk.politics.guns,sci.med,talk.politics.guns,team handled delta force batf equipment men did good did poor planning just basic military sense justify body counts fall ears batf shown leadership despite people better weapons use batf private army government agents swear did constitution know document highest law land charges court law remember 
118,1178,4,gun guns file law people firearms,0.602,0.708,2,edu image graphics com file software,talk.politics.guns,talk.politics.guns,comp.graphics,god american taxes government like waco dave netcom com
119,216,0,space nasa launch earth data research,0.600,0.629,3,don just like people think know,sci.space,sci.space,sci.med,space forum kennedy space center sts solid rocket surprised outside base right hand tool trip launch pad approximately foot altitude nasa told media long time like happened lost tool like initial investigation incident shown corp noticed reported missing april unfortunately did act report discovery 
120,2372,0,space nasa launch earth data research,0.598,0.575,4,gun guns file law people firearms,sci.space,sci.space,talk.politics.guns,early mid june think public wants carry write ask reach national news media world news tonight face nation west street news new york street washington associated press good morning america news new york national desk new york foreign desk washington bureau larry king live evening news cnn street mas
121,1596,2,edu image graphics com file software,0.596,0.495,3,don just like people think know,sci.med,comp.graphics,sci.med,isn rare actually cases called disease turn case does respond therapy don believe gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
122,1473,0,space nasa launch earth data research,0.596,0.550,2,edu image graphics com file software,comp.graphics,sci.space,comp.graphics,acm siggraph understanding images subject university siggraph conference understanding images purpose conference bring including physical biological sciences technology art psychology philosophy education order define discuss issues essential image understanding computer graphics context topics incl
123,1956,2,edu image graphics com file software,0.594,0.425,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,archive space data modified date online sources images data introduction wide variety images data information material dealing space astronomy net sites offer direct access remote access support form file transfer sites listed providing anonymous ftp file transfer internet sites connected internet u
124,5,2,edu image graphics com file software,0.594,0.492,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,current orbital elements line element sets carried bbs updated daily possible documentation tracking software available service satellite user community current elements current shuttle mission provided bbs hours day using data bits stop bit element sets updated daily shuttle elements documentation 
125,520,4,gun guns file law people firearms,0.593,0.440,3,don just like people think know,talk.politics.guns,talk.politics.guns,sci.med,according australian year stand began koresh followers believed koresh sex children women men compound perfect children resulting great members ways way jim jones described don know accurate koresh convicted crimes children batf child abuse case strictly firearms violations information discussion fb
126,911,0,space nasa launch earth data research,0.592,0.522,2,edu image graphics com file software,sci.med,sci.space,comp.graphics,resources services available internet bitnet hospitals medical care interested including institutions medical internet special services online access libraries information
127,154,3,don just like people think know,0.592,0.639,2,edu image graphics com file software,comp.graphics,sci.med,comp.graphics,successfully converted graphics heard love hear mike
128,373,2,edu image graphics com file software,0.592,0.496,0,space nasa launch earth data research,sci.space,comp.graphics,sci.space,notice posted weekly sci space sci astro sci space shuttle frequently asked questions faq list sci space sci astro posted approximately monthly covers questions come sci space shuttle shuttle launch dates faq posted long date copy news directory look old articles sci space ways copy waiting posting 
129,1122,3,don just like people think know,0.589,0.637,0,space nasa launch earth data research,sci.space,sci.med,sci.space,level highest level stands software engineering institute sure believe applies flight software mind use sophisticated tools force ignorance attack problem simply threw hundreds people did process hand consider receiving warning status systems use latest copy make sure just issued new ones think mind
130,2170,2,edu image graphics com file software,0.588,0.626,3,don just like people think know,sci.med,comp.graphics,sci.med,probably fatal adult dose kill child patient low blood pressure possibly gordon banks skepticism chastity intellect geb cadre dsl pitt edu shameful surrender soon
